TableName,ColumnName,DataType,VariableType,CheckType,Metric,MetricValue
QualityControlFacts,EndDate,datetime,Qualitative,Integrity,NullCount,0
QualityControlFacts,EndDate,datetime,Qualitative,Integrity,NullPct,0
QualityControlFacts,EndDate,datetime,Qualitative,Feasibility,MaxDate,Jun 17 2014 12:00AM
QualityControlFacts,EndDate,datetime,Qualitative,Feasibility,MinDate,Jun 13 2011 12:00AM
QualityControlFacts,EndDate,datetime,Qualitative,Feasibility,TimespanDays,1100
QualityControlFacts,EndDate,datetime,Qualitative,Feasibility,TimespanMonths,36
QualityControlFacts,EndDate,datetime,Qualitative,Feasibility,TimespanYears,3
QualityControlFacts,EndDate,datetime,Qualitative,CentralTendency,Mode,Apr 13 2014 12:00AM (freq=288)
QualityControlFacts,FiscalMonth,int,Quantitative,Integrity,NegativeCount,0
QualityControlFacts,FiscalMonth,int,Quantitative,Integrity,NullCount,0
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,MaxValue,12
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,Mean,6.64414
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,Median,7
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,MinValue,1
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,OutlierCount,0
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,OutlierPct,0
QualityControlFacts,FiscalMonth,int,Quantitative,Feasibility,StdDev,3.43408
QualityControlFacts,FiscalMonth,int,Quantitative,CentralTendency,Mode,11 (freq=6869)
QualityControlFacts,FiscalYear,int,Quantitative,Integrity,NegativeCount,0
QualityControlFacts,FiscalYear,int,Quantitative,Integrity,NullCount,0
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,MaxValue,2014
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,Mean,2013.24
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,Median,2013
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,MinValue,2011
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,OutlierCount,597
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,OutlierPct,0.822416
QualityControlFacts,FiscalYear,int,Quantitative,Feasibility,StdDev,0.823412
QualityControlFacts,FiscalYear,int,Quantitative,CentralTendency,Mode,2014 (freq=34756)
