ProductSubCategoryName,FiscalYear,FiscalMonth,SalesRevenue
Mountain Bikes,2012,1,1092336.884
Road Bikes,2012,1,827108.3272
Mountain Frames,2012,1,71435.0776
Road Frames,2012,1,43087.9394
Jerseys,2012,1,5722.53082
Helmets,2012,1,3593.197
Socks,2012,1,785.38875
Caps,2012,1,530.658264
Mountain Bikes,2012,2,1176243.377
Road Bikes,2012,2,1141346.218
Mountain Frames,2012,2,103500.0087
Road Frames,2012,2,60817.1216
Jerseys,2012,2,7008.2172
Helmets,2012,2,5187.9305
Socks,2012,2,1003.30925
Caps,2012,2,710.5505
Road Bikes,2012,3,414049.1058
Mountain Bikes,2012,3,88024.74
Mountain Bikes,2012,4,2303616.169
Road Bikes,2012,4,1954537.678
Mountain Frames,2012,4,187019.0505
Road Frames,2012,4,118089.8206
Jerseys,2012,4,13102.23104
Helmets,2012,4,9758.571108
Socks,2012,4,1400.09195
Caps,2012,4,1238.203872
Road Bikes,2012,5,609290.2014
Mountain Bikes,2012,5,128549.62
Road Bikes,2012,6,816421.0208
Mountain Bikes,2012,6,467503.62
Road Frames,2012,6,12323.01
Mountain Frames,2012,6,11375.0517
Jerseys,2012,6,1268.9776
Helmets,2012,6,585.4085
Socks,2012,6,256.5
Caps,2012,6,129.6625
Mountain Bikes,2012,7,1908089.366
Road Bikes,2012,7,1896783.736
Mountain Frames,2012,7,116182.5933
Road Frames,2012,7,35163.1104
Jerseys,2012,7,8248.3544
Helmets,2012,7,4360.284
Socks,2012,7,1009.30565
Caps,2012,7,790.529608
Road Bikes,2012,8,892185.7501
Mountain Bikes,2012,8,514188.482
Road Frames,2012,8,37318.9525
Mountain Frames,2012,8,26304.6955
Jerseys,2012,8,2941.7208
Helmets,2012,8,1776.412
Socks,2012,8,461.9451
Caps,2012,8,248.952
Road Bikes,2012,9,1452696.356
Mountain Bikes,2012,9,1336661.254
Mountain Frames,2012,9,99999.9699
Road Frames,2012,9,71325.6509
Jerseys,2012,9,8017.35116
Helmets,2012,9,5577.839264
Socks,2012,9,836.0475
Caps,2012,9,633.769452
Road Bikes,2012,10,1078663.628
Mountain Bikes,2012,10,403252.2465
Mountain Frames,2012,10,94630.4994
Road Frames,2012,10,46666.8029
Jerseys,2012,10,5941.1224
Helmets,2012,10,4279.538
Caps,2012,10,591.261
Socks,2012,10,575.7
Road Bikes,2012,11,1614262.353
