FiscalYear,FiscalMonth,AvgLeadTimeDays,MinLeadTimeDays,MaxLeadTimeDays
2012,1,7,7,7
2012,2,7,7,7
2012,3,7,7,7
2012,4,7,7,7
2012,5,7,7,7
2012,6,7,7,7
2012,7,7,7,7
2012,8,7,7,7
2012,9,7,7,7
2012,10,7,7,7
2012,11,7,7,7
2012,12,7,7,7
2013,1,7,7,7
2013,2,7,7,7
2013,3,7,7,7
2013,4,7,7,7
2013,5,7,7,7
2013,6,7,7,7
2013,7,7,7,7
2013,8,7,7,7
2013,9,7,7,7
2013,10,7,7,7
2013,11,7,7,7
2013,12,7,7,7
2014,1,7,7,7
2014,2,7,7,7
2014,3,7,7,7
2014,4,7,7,7
2014,5,7,7,7
2014,6,7,7,7
2014,7,7.00093414292387,7,8
2014,8,7.00170842824601,7,8
2014,9,7.00083368070029,7,8
2014,10,7.00094562647754,7,8
2014,11,7,7,7
2014,12,7,7,7
