FiscalYear,FiscalMonth,TotalOrderQty
2012,1,2209
2012,2,2904
2012,3,157
2012,4,5382
2012,5,230
2012,6,1040
2012,7,3967
2012,8,1442
2012,9,3184
2012,10,2405
2012,11,7723
2012,12,11295
2013,1,9142
2013,2,5567
2013,3,8294
2013,4,6549
2013,5,3606
2013,6,5405
2013,7,4154
2013,8,5651
2013,9,8250
2013,10,6449
2013,11,10260
2013,12,16611
2014,1,18589
2014,2,11548
2014,3,14576
2014,4,14984
2014,5,9667
2014,6,11049
2014,7,11463
2014,8,4287
2014,9,22582
2014,10,5313
2014,11,15884
2014,12,2130
