FiscalYear,FiscalMonth,SalesRevenue
2012,1,2044600.003338
2012,2,2495816.733446
2012,3,502073.845800
2012,4,4588761.816130
2012,5,737839.821400
2012,6,1309863.251140
2012,7,3970627.278958
2012,8,1475426.909980
2012,9,2975748.238428
2012,10,1634600.798332
2012,11,3074602.813538
2012,12,4099354.356751
2013,1,3417953.869571
2013,2,2175637.217725
2013,3,3454151.940485
2013,4,2544091.105517
2013,5,1872701.976206
2013,6,2829404.818943
2013,7,2087872.462504
2013,8,2316922.151480
2013,9,3412068.967535
2013,10,2532265.912399
2013,11,3245623.754479
2013,12,5081069.131596
2014,1,4896353.737794
2014,2,3333964.067555
2014,3,4532908.705303
2014,4,4795813.289802
2014,5,3312130.245587
2014,6,4075486.625601
2014,7,4289817.950953
2014,8,1337725.035600
2014,9,7217531.091974
2014,10,1797173.923000
2014,11,5366674.969338
2014,12,49005.840000
