TerritoryName,FiscalYear,Revenue,PriorYearRevenue,YoYGrowthPct
France,2013,2522414.845170,776840.808310,224.701640051256
United Kingdom,2013,2296496.345716,819030.594128,180.392010039749
Germany,2013,1104824.752945,520242.095200,112.367427230252
Northeast,2013,3090936.555385,1902155.159718,62.4965523760554
Southwest,2013,8344472.385838,6741215.152960,23.7829114855357
Canada,2013,5682890.510616,4865959.499408,16.7886931921112
Central,2013,2820184.616892,2592787.781369,8.77036050374064
Australia,2013,2406653.502014,2494136.423800,-3.50754357104145
Northwest,2013,4269122.529552,4974645.779322,-14.1823816421791
Southeast,2013,2431767.264312,3222302.573026,-24.5332426362315
Germany,2014,3254736.327740,1104824.752945,194.592994867669
Australia,2014,5544893.128903,2406653.502014,130.398481720064
United Kingdom,2014,4517695.661031,2296496.345716,96.721221414462
Northwest,2014,6688682.139011,4269122.529552,56.675806157124
France,2014,3912125.667046,2522414.845170,55.094459364488
Southwest,2014,8928959.483912,8344472.385838,7.00448238124647
Canada,2014,5669594.110638,5682890.510616,-0.233972482017056
Central,2014,2476793.543311,2820184.616892,-12.1761912863505
Southeast,2014,2086421.040513,2431767.264312,-14.2014504787203
Northeast,2014,1924684.380402,3090936.555385,-37.7313527497407
