FiscalYear,FiscalMonth,TotalScrapCost,TotalProductionCost,ScrapCostRatioPct
2012,1,4664.3884,3488035.3354,0.133725376938164
2012,2,3498.1713,2769232.6585,0.126322766318047
2012,3,1310.0207,2259752.938,0.0579718551515387
2012,4,11477.5257,5104192.2792,0.224864681269392
2012,5,4963.8951,3917714.7828,0.126703840764342
2012,6,1140.1791,2262598.09,0.0503924716032974
2012,7,10487.3772,4432949.0194,0.236577888762174
2012,8,5450.8757,3443571.3326,0.158291354338939
2012,9,1825.6479,2557491.0482,0.0713843319719503
2012,10,12667.484,5134011.6932,0.246736563081422
2012,11,8809.7878,3985088.0727,0.221068835601195
2012,12,11741.6502,5905019.6978,0.198841846444213
2013,1,25947.1518,8380176.8267,0.309625349638566
2013,2,6164.7952,6768244.4495,0.0910841097126068
2013,3,7574.3607,4449874.0067,0.17021517212837
2013,4,11352.9784,7284756.3827,0.155845683830434
2013,5,10358.3033,5332774.0745,0.194238554930178
2013,6,4661.003,3753659.0879,0.124172251417952
2013,7,17706.2719,6292469.7937,0.281388270114979
2013,8,11007.603,4172573.9603,0.263808457434954
2013,9,13385.0985,4806408.6305,0.278484405488586
2013,10,19699.5653,7060717.7486,0.279002305451256
2013,11,1258.1836,5094901.8312,0.0246949527524785
2013,12,12259.1648,6486580.2481,0.188992725459472
2014,1,23722.5871,10005888.3934,0.237086265280029
2014,2,12382.5124,9814560.3699,0.126164717861185
2014,3,6735.8166,5954336.0733,0.113124561950815
2014,4,11600.8174,8603334.4183,0.134840944637978
2014,5,21749.642,8946530.6695,0.24310699648242
2014,6,10342.5539,5513254.0359,0.187594365009369
2014,7,8485.3173,7658554.4618,0.110795285746466
2014,8,13189.9926,7530467.3638,0.175155033051549
2014,9,4553.2701,6463308.5242,0.0704479769602765
2014,10,20229.2927,9070424.3193,0.223024766955568
2014,11,7079.4693,9432364.0686,0.0750550895672835
2014,12,99.345,1527179.3084,0.0065051300429209
