FiscalYear,FiscalMonth,TotalScrappedUnits,TotalUnitsProduced,DefectRatePct
2012,1,135,61808,0.218418327724566
2012,2,124,46605,0.266065872760433
2012,3,31,41987,0.0738323766880225
2012,4,85,91895,0.0924968714293487
2012,5,66,70047,0.0942224506402844
2012,6,29,38771,0.0747981738928581
2012,7,328,77683,0.422228801668319
2012,8,52,59542,0.0873333109401767
2012,9,116,45633,0.254202002936471
2012,10,264,92556,0.285232723972514
2012,11,195,69234,0.281653522835601
2012,12,178,137466,0.129486563950359
2013,1,445,193223,0.230303845815457
2013,2,522,152493,0.34231079459385
2013,3,490,105261,0.46550954294563
2013,4,132,163402,0.0807823649649331
2013,5,164,122256,0.134144745452166
2013,6,75,84721,0.0885258672584129
2013,7,262,137372,0.190723000320298
2013,8,123,93404,0.13168600916449
2013,9,105,110052,0.095409442808854
2013,10,326,160866,0.202653139880397
2013,11,537,116682,0.460225227541523
2013,12,159,154635,0.102822776214958
2014,1,694,234184,0.296348170669217
2014,2,202,234168,0.0862628540193365
2014,3,1313,135728,0.967375928327243
2014,4,700,194740,0.359453630481668
2014,5,768,208642,0.368094630994718
2014,6,297,119739,0.248039485881793
2014,7,289,167433,0.172606355975226
2014,8,228,168358,0.135425699996436
2014,9,114,146400,0.0778688524590164
2014,10,748,207393,0.360667910681653
2014,11,279,214265,0.130212587216764
2014,12,63,24156,0.26080476900149
