KeyArea,KPI,Year,Period,Dimension,MetricValue
Sales Performance,Sales Trend - By Subcategory,2012,11,Helmets,7448.825880
Sales Performance,Sales Trend - By Subcategory,2012,12,Handlebars,14312.218000
Sales Performance,Sales Trend - By Subcategory,2014,1,Handlebars,16878.182264
Sales Performance,Sales Trend - By Subcategory,2013,3,Shorts,8674.554000
Sales Performance,Sales Trend - By Subcategory,2013,6,Headsets,4040.022000
Sales Performance,Sales Trend - By Subcategory,2014,3,Chains,752.928000
Sales Performance,Sales Trend - By Subcategory,2012,12,Tights,27091.412330
Sales Performance,Sales Trend - By Subcategory,2013,1,Mountain Bikes,1144878.468044
Sales Performance,Sales Trend - By Subcategory,2013,4,Tights,17573.036616
Sales Performance,Sales Trend - By Subcategory,2014,1,Tights,341.204500
Sales Performance,Sales Trend - By Subcategory,2013,4,Gloves,12723.009300
Sales Performance,Sales Trend - By Subcategory,2013,5,Road Bikes,1000859.119025
Sales Performance,Sales Trend - By Subcategory,2014,6,Bike Racks,12582.288000
Sales Performance,Sales Trend - By Subcategory,2013,11,Chains,485.760000
Sales Performance,Sales Trend - By Subcategory,2014,7,Hydration Packs,6191.874000
Sales Performance,Sales Trend - By Subcategory,2014,1,Cranksets,36294.954000
Sales Performance,Sales Trend - By Subcategory,2014,9,Road Bikes,2148706.220293
Sales Performance,Sales Trend - By Subcategory,2013,3,Caps,1158.497936
Sales Performance,Sales Trend - By Subcategory,2013,11,Bottom Brackets,3385.428000
Sales Performance,Sales Trend - By Subcategory,2012,12,Jerseys,19926.250470
Sales Performance,Sales Trend - By Subcategory,2013,8,Road Frames,128223.379500
Sales Performance,Sales Trend - By Subcategory,2014,2,Bottles and Cages,4525.439508
Sales Performance,Sales Trend - By Subcategory,2014,6,Saddles,1716.024000
Sales Performance,Sales Trend - By Subcategory,2013,6,Mountain Bikes,1004535.087152
Sales Performance,Sales Trend - By Subcategory,2013,8,Wheels,45116.976000
Sales Performance,Sales Trend - By Subcategory,2014,3,Mountain Bikes,1244716.835625
Sales Performance,Sales Trend - By Subcategory,2013,4,Handlebars,5846.117500
Sales Performance,Sales Trend - By Subcategory,2014,9,Derailleurs,10300.164000
Sales Performance,Sales Trend - By Subcategory,2012,8,Caps,248.952000
Sales Performance,Sales Trend - By Subcategory,2013,11,Touring Frames,151825.975475
Sales Performance,Sales Trend - By Subcategory,2014,2,Hydration Packs,8536.955544
Sales Performance,Sales Trend - By Subcategory,2013,1,Bib-Shorts,23143.997159
Sales Performance,Sales Trend - By Subcategory,2014,6,Bike Stands,2703.000000
Sales Performance,Sales Trend - By Subcategory,2014,12,Caps,836.070000
Sales Performance,Sales Trend - By Subcategory,2013,9,Jerseys,12530.343760
Sales Performance,Sales Trend - By Subcategory,2014,5,Touring Bikes,902005.314408
Sales Performance,Sales Trend - By Subcategory,2014,5,Road Frames,23105.532000
Sales Performance,Sales Trend - By Subcategory,2014,12,Shorts,4129.410000
Sales Performance,Sales Trend - By Subcategory,2013,3,Locks,1620.000000
Sales Performance,Sales Trend - By Subcategory,2014,11,Pedals,13728.305876
Sales Performance,Sales Trend - By Subcategory,2014,12,Tires and Tubes,13692.270000
Sales Performance,Sales Trend - By Subcategory,2014,7,Mountain Frames,115170.708000
Sales Performance,Sales Trend - By Subcategory,2011,11,Caps,207.460000
Sales Performance,Sales Trend - By Subcategory,2013,11,Gloves,5737.044543
Sales Performance,Sales Trend - By Subcategory,2014,10,Bib-Shorts,233.974000
Sales Performance,Sales Trend - By Subcategory,2014,1,Touring Frames,275512.525978
Sales Performance,Sales Trend - By Subcategory,2012,1,Mountain Frames,71435.077600
Sales Performance,Sales Trend - By Subcategory,2012,4,Helmets,9758.571108
Sales Performance,Sales Trend - By Subcategory,2014,6,Jerseys,34891.735076
Sales Performance,Sales Trend - By Subcategory,2014,7,Bottles and Cages,5729.746000
Sales Performance,Sales Trend - By Subcategory,2013,10,Helmets,8348.681485
Sales Performance,Sales Trend - By Subcategory,2014,7,Helmets,25318.764000
Sales Performance,Sales Trend - By Subcategory,2012,2,Mountain Bikes,1176243.377476
Sales Performance,Sales Trend - By Subcategory,2012,1,Road Bikes,827108.327180
Sales Performance,Sales Trend - By Subcategory,2012,9,Road Frames,71325.650900
Sales Performance,Sales Trend - By Subcategory,2013,10,Mountain Frames,154048.240200
Sales Performance,Sales Trend - By Subcategory,2014,5,Brakes,1661.400000
Sales Performance,Sales Trend - By Subcategory,2013,12,Road Bikes,1458572.098268
Sales Performance,Sales Trend - By Subcategory,2014,6,Cleaners,1262.460000
Sales Performance,Sales Trend - By Subcategory,2014,2,Vests,17854.301350
Sales Performance,Sales Trend - By Subcategory,2013,11,Cranksets,16060.804424
Sales Performance,Sales Trend - By Subcategory,2014,2,Road Bikes,1031456.984360
Sales Performance,Sales Trend - By Subcategory,2013,10,Locks,1370.520000
Sales Performance,Sales Trend - By Subcategory,2014,8,Socks,341.620000
Sales Performance,Sales Trend - By Subcategory,2014,11,Jerseys,52521.528227
Sales Performance,Sales Trend - By Subcategory,2014,12,Helmets,9167.380000
Sales Performance,Sales Trend - By Subcategory,2012,6,Road Bikes,816421.020840
Sales Performance,Sales Trend - By Subcategory,2014,10,Fenders,4769.660000
Sales Performance,Sales Trend - By Subcategory,2012,4,Road Frames,118089.820600
Sales Performance,Sales Trend - By Subcategory,2013,3,Helmets,9594.925228
Sales Performance,Sales Trend - By Subcategory,2014,1,Bike Racks,29802.300000
Sales Performance,Sales Trend - By Subcategory,2014,10,Mountain Bikes,745380.460000
Sales Performance,Sales Trend - By Subcategory,2014,3,Gloves,7552.245792
Sales Performance,Sales Trend - By Subcategory,2013,11,Handlebars,10186.782000
Sales Performance,Sales Trend - By Subcategory,2013,2,Jerseys,9515.772580
Sales Performance,Sales Trend - By Subcategory,2014,5,Tires and Tubes,20956.060000
Sales Performance,Sales Trend - By Subcategory,2013,8,Caps,754.224108
Sales Performance,Sales Trend - By Subcategory,2014,5,Caps,2429.284992
Sales Performance,Sales Trend - By Subcategory,2012,8,Road Bikes,892185.750080
Sales Performance,Sales Trend - By Subcategory,2012,8,Mountain Frames,26304.695500
Sales Performance,Sales Trend - By Subcategory,2013,5,Locks,720.000000
Sales Performance,Sales Trend - By Subcategory,2014,3,Socks,2438.962727
Sales Performance,Sales Trend - By Subcategory,2012,10,Caps,591.261000
Sales Performance,Sales Trend - By Subcategory,2014,1,Saddles,9565.824000
Sales Performance,Sales Trend - By Subcategory,2011,12,Mountain Bikes,94874.720000
Sales Performance,Sales Trend - By Subcategory,2012,9,Mountain Bikes,1336661.253792
Sales Performance,Sales Trend - By Subcategory,2013,3,Wheels,71073.444000
Sales Performance,Sales Trend - By Subcategory,2012,12,Gloves,19545.408113
Sales Performance,Sales Trend - By Subcategory,2013,2,Forks,4096.452000
Sales Performance,Sales Trend - By Subcategory,2014,5,Fenders,4220.160000
Sales Performance,Sales Trend - By Subcategory,2011,11,Road Bikes,220044.868900
Sales Performance,Sales Trend - By Subcategory,2013,8,Helmets,7613.904016
Sales Performance,Sales Trend - By Subcategory,2014,4,Derailleurs,8291.808000
Sales Performance,Sales Trend - By Subcategory,2013,3,Bib-Shorts,11338.740000
Sales Performance,Sales Trend - By Subcategory,2014,1,Bike Stands,3021.000000
Sales Performance,Sales Trend - By Subcategory,2013,6,Handlebars,2267.647500
Sales Performance,Sales Trend - By Subcategory,2014,9,Pedals,23910.638592
Sales Performance,Sales Trend - By Subcategory,2012,10,Jerseys,5941.122400
Sales Performance,Sales Trend - By Subcategory,2013,7,Jerseys,5906.185860
Sales Performance,Sales Trend - By Subcategory,2013,12,Fenders,1099.000000
Sales Performance,Sales Trend - By Subcategory,2014,4,Jerseys,47761.259153
Sales Performance,Sales Trend - By Subcategory,2014,9,Bottles and Cages,6912.593884
Sales Performance,Sales Trend - By Subcategory,2014,10,Tires and Tubes,22315.910000
Sales Performance,Sales Trend - By Subcategory,2013,10,Road Frames,142199.849128
Sales Performance,Sales Trend - By Subcategory,2014,7,Road Frames,24665.154000
Sales Performance,Sales Trend - By Subcategory,2014,5,Helmets,26270.492000
Sales Performance,Sales Trend - By Subcategory,2014,3,Touring Frames,154334.639328
Sales Performance,Sales Trend - By Subcategory,2013,11,Bike Racks,14905.272000
Sales Performance,Sales Trend - By Subcategory,2014,5,Chains,291.456000
Sales Performance,Sales Trend - By Subcategory,2012,2,Road Frames,60817.121600
Sales Performance,Sales Trend - By Subcategory,2012,6,Socks,256.500000
Sales Performance,Sales Trend - By Subcategory,2013,7,Forks,4130.820000
Sales Performance,Sales Trend - By Subcategory,2013,8,Headsets,2841.042000
Sales Performance,Sales Trend - By Subcategory,2013,10,Road Bikes,1183349.016042
Sales Performance,Sales Trend - By Subcategory,2014,3,Cranksets,13955.850000
Sales Performance,Sales Trend - By Subcategory,2014,8,Bike Racks,3240.000000
Sales Performance,Sales Trend - By Subcategory,2014,10,Gloves,3797.578000
Sales Performance,Sales Trend - By Subcategory,2013,12,Mountain Frames,305923.499332
Sales Performance,Sales Trend - By Subcategory,2014,1,Cleaners,1830.316575
Sales Performance,Sales Trend - By Subcategory,2014,9,Mountain Frames,343024.626000
Sales Performance,Sales Trend - By Subcategory,2013,10,Wheels,54713.357595
Sales Performance,Sales Trend - By Subcategory,2014,7,Road Bikes,1161599.450255
Sales Performance,Sales Trend - By Subcategory,2013,10,Caps,926.121888
Sales Performance,Sales Trend - By Subcategory,2013,3,Road Frames,201760.197300
Sales Performance,Sales Trend - By Subcategory,2013,5,Pumps,635.682000
Sales Performance,Sales Trend - By Subcategory,2013,11,Mountain Bikes,862787.977224
Sales Performance,Sales Trend - By Subcategory,2014,8,Mountain Bikes,519976.080000
Sales Performance,Sales Trend - By Subcategory,2014,11,Derailleurs,8616.660824
Sales Performance,Sales Trend - By Subcategory,2014,10,Socks,449.500000
Sales Performance,Sales Trend - By Subcategory,2014,3,Tires and Tubes,18561.388000
Sales Performance,Sales Trend - By Subcategory,2014,7,Touring Bikes,1473593.303268
Sales Performance,Sales Trend - By Subcategory,2014,7,Caps,2727.677476
Sales Performance,Sales Trend - By Subcategory,2014,12,Fenders,2263.940000
Sales Performance,Sales Trend - By Subcategory,2013,1,Helmets,11488.590375
Sales Performance,Sales Trend - By Subcategory,2013,2,Gloves,10190.096583
Sales Performance,Sales Trend - By Subcategory,2013,10,Shorts,6802.866000
Sales Performance,Sales Trend - By Subcategory,2013,12,Bottles and Cages,2726.857600
Sales Performance,Sales Trend - By Subcategory,2014,5,Gloves,5080.509276
Sales Performance,Sales Trend - By Subcategory,2014,7,Shorts,24469.679832
Sales Performance,Sales Trend - By Subcategory,2013,11,Bike Stands,159.000000
Sales Performance,Sales Trend - By Subcategory,2014,8,Bike Stands,2703.000000
Sales Performance,Sales Trend - By Subcategory,2012,6,Helmets,585.408500
Sales Performance,Sales Trend - By Subcategory,2014,2,Mountain Frames,118989.873072
Sales Performance,Sales Trend - By Subcategory,2013,1,Headsets,8216.281871
Sales Performance,Sales Trend - By Subcategory,2013,11,Cleaners,1016.991030
Sales Performance,Sales Trend - By Subcategory,2014,3,Handlebars,6486.588000
Sales Performance,Sales Trend - By Subcategory,2012,4,Mountain Bikes,2303616.168852
Sales Performance,Sales Trend - By Subcategory,2013,9,Tights,19467.778950
Sales Performance,Sales Trend - By Subcategory,2013,9,Gloves,16829.597150
Sales Performance,Sales Trend - By Subcategory,2013,3,Road Bikes,1778010.989024
Sales Performance,Sales Trend - By Subcategory,2014,3,Brakes,6390.000000
Sales Performance,Sales Trend - By Subcategory,2013,5,Mountain Frames,44023.274600
Sales Performance,Sales Trend - By Subcategory,2013,8,Bib-Shorts,11361.453476
Sales Performance,Sales Trend - By Subcategory,2014,8,Cleaners,413.400000
Sales Performance,Sales Trend - By Subcategory,2014,9,Hydration Packs,13078.799604
Sales Performance,Sales Trend - By Subcategory,2014,4,Pedals,14060.976000
Sales Performance,Sales Trend - By Subcategory,2012,12,Headsets,8814.591450
Sales Performance,Sales Trend - By Subcategory,2013,5,Shorts,3563.406000
Sales Performance,Sales Trend - By Subcategory,2014,7,Vests,16415.670750
Sales Performance,Sales Trend - By Subcategory,2014,3,Bottom Brackets,3118.140000
Sales Performance,Sales Trend - By Subcategory,2013,1,Tights,20751.420275
Sales Performance,Sales Trend - By Subcategory,2012,12,Pumps,2066.750108
Sales Performance,Sales Trend - By Subcategory,2013,1,Gloves,17353.062453
Sales Performance,Sales Trend - By Subcategory,2014,5,Touring Frames,45338.772000
Sales Performance,Sales Trend - By Subcategory,2011,11,Helmets,1695.666000
Sales Performance,Sales Trend - By Subcategory,2012,8,Helmets,1776.412000
Sales Performance,Sales Trend - By Subcategory,2014,9,Caps,4219.747776
Sales Performance,Sales Trend - By Subcategory,2013,9,Pumps,1499.250000
Sales Performance,Sales Trend - By Subcategory,2014,12,Socks,224.750000
Sales Performance,Sales Trend - By Subcategory,2013,11,Wheels,528.448800
Sales Performance,Sales Trend - By Subcategory,2014,4,Hydration Packs,9207.613584
Sales Performance,Sales Trend - By Subcategory,2014,11,Mountain Frames,220929.060000
Sales Performance,Sales Trend - By Subcategory,2013,10,Forks,8525.646000
Sales Performance,Sales Trend - By Subcategory,2014,3,Bike Racks,22828.512000
Sales Performance,Sales Trend - By Subcategory,2013,2,Road Bikes,1165422.128690
Sales Performance,Sales Trend - By Subcategory,2014,4,Cranksets,19722.792000
Sales Performance,Sales Trend - By Subcategory,2014,6,Road Bikes,1284311.558400
Sales Performance,Sales Trend - By Subcategory,2013,3,Mountain Bikes,1117157.433884
Sales Performance,Sales Trend - By Subcategory,2013,11,Road Frames,210125.366453
Sales Performance,Sales Trend - By Subcategory,2014,4,Cleaners,1612.756080
Sales Performance,Sales Trend - By Subcategory,2014,5,Bottom Brackets,1749.456000
Sales Performance,Sales Trend - By Subcategory,2014,3,Saddles,4250.052000
Sales Performance,Sales Trend - By Subcategory,2014,11,Vests,23640.707100
Sales Performance,Sales Trend - By Subcategory,2013,12,Caps,2611.339684
Sales Performance,Sales Trend - By Subcategory,2013,12,Bike Stands,795.000000
Sales Performance,Sales Trend - By Subcategory,2014,9,Bike Stands,4929.000000
Sales Performance,Sales Trend - By Subcategory,2012,11,Headsets,2550.907632
Sales Performance,Sales Trend - By Subcategory,2014,11,Hydration Packs,10993.089393
Sales Performance,Sales Trend - By Subcategory,2014,2,Touring Bikes,808936.532994
Sales Performance,Sales Trend - By Subcategory,2014,8,Road Frames,2390.930800
Sales Performance,Sales Trend - By Subcategory,2013,11,Pedals,12733.475308
Sales Performance,Sales Trend - By Subcategory,2014,11,Bottles and Cages,6564.597776
Sales Performance,Sales Trend - By Subcategory,2013,11,Socks,1393.556082
Sales Performance,Sales Trend - By Subcategory,2012,10,Road Bikes,1078663.628132
Sales Performance,Sales Trend - By Subcategory,2014,4,Handlebars,9196.104000
Sales Performance,Sales Trend - By Subcategory,2012,11,Caps,1081.614622
Sales Performance,Sales Trend - By Subcategory,2013,12,Shorts,33721.706925
Sales Performance,Sales Trend - By Subcategory,2014,9,Shorts,49009.573632
Sales Performance,Sales Trend - By Subcategory,2012,1,Helmets,3593.197000
Sales Performance,Sales Trend - By Subcategory,2014,9,Cleaners,2349.562875
Sales Performance,Sales Trend - By Subcategory,2014,11,Handlebars,8655.006000
Sales Performance,Sales Trend - By Subcategory,2013,7,Helmets,3923.609436
Sales Performance,Sales Trend - By Subcategory,2013,8,Tights,14047.546744
Sales Performance,Sales Trend - By Subcategory,2012,11,Mountain Bikes,868578.569924
Sales Performance,Sales Trend - By Subcategory,2013,3,Forks,9529.674000
Sales Performance,Sales Trend - By Subcategory,2013,12,Cleaners,1705.566765
Sales Performance,Sales Trend - By Subcategory,2014,4,Helmets,30733.991350
Sales Performance,Sales Trend - By Subcategory,2012,6,Road Frames,12323.010000
Sales Performance,Sales Trend - By Subcategory,2012,11,Gloves,14271.987906
Sales Performance,Sales Trend - By Subcategory,2013,8,Gloves,11105.353199
Sales Performance,Sales Trend - By Subcategory,2013,10,Bib-Shorts,14833.123692
Sales Performance,Sales Trend - By Subcategory,2012,10,Mountain Frames,94630.499400
