WorkOrderID,ProductID,ProductName,ProductSubCategoryName,ProdcutCategoryName,PlannedOrderQty,StockedQty,ScrappedQty,ScrapReasonID,ScrapReasonName,EndDate,FiscalYear,FiscalMonth,StandardCost,TotalUnitsProduced,ScrapCost,ProductionCost
46094,807,HL Headset,Headsets,Components,4,4,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,55.3801,4,0.00,221.5204
46095,808,LL Mountain Handlebars,Handlebars,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,19.7758,2,0.00,39.5516
46096,810,HL Mountain Handlebars,Handlebars,Components,3,3,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,53.3999,3,0.00,160.1997
46097,811,LL Road Handlebars,Handlebars,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,19.7758,2,0.00,39.5516
46098,812,ML Road Handlebars,Handlebars,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,27.4925,1,0.00,27.4925
46099,813,HL Road Handlebars,Handlebars,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,53.3999,2,0.00,106.7998
46100,815,LL Mountain Front Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,26.9708,2,0.00,53.9416
46101,816,ML Mountain Front Wheel,Wheels,Components,3,3,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,92.8071,3,0.00,278.4213
46102,818,LL Road Front Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,37.9909,2,0.00,75.9818
46103,819,ML Road Front Wheel,Wheels,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,110.2829,1,0.00,110.2829
46104,820,HL Road Front Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,146.5466,2,0.00,293.0932
46105,821,Touring Front Wheel,Wheels,Components,5,5,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,96.7964,5,0.00,483.982
46106,822,"ML Road Frame-W - Yellow, 38",Road Frames,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,360.9428,1,0.00,360.9428
46107,823,LL Mountain Rear Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,38.9588,2,0.00,77.9176
46108,824,ML Mountain Rear Wheel,Wheels,Components,3,3,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,104.7951,3,0.00,314.3853
46109,826,LL Road Rear Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,49.9789,2,0.00,99.9578
46110,827,ML Road Rear Wheel,Wheels,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,122.2709,1,0.00,122.2709
46111,828,HL Road Rear Wheel,Wheels,Components,2,2,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,158.5346,2,0.00,317.0692
46112,829,Touring Rear Wheel,Wheels,Components,5,5,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,108.7844,5,0.00,543.922
46113,839,"HL Road Frame - Black, 48",Road Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,868.6342,1,0.00,868.6342
46114,887,"HL Touring Frame - Yellow, 46",Touring Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,601.7437,1,0.00,601.7437
46115,888,"HL Touring Frame - Yellow, 50",Touring Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,601.7437,1,0.00,601.7437
46116,889,"HL Touring Frame - Yellow, 54",Touring Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,601.7437,1,0.00,601.7437
46117,891,"HL Touring Frame - Blue, 50",Touring Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,601.7437,1,0.00,601.7437
46118,894,Rear Derailleur,Derailleurs,Components,15,15,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,53.9282,15,0.00,808.923
46119,897,"LL Touring Frame - Blue, 58",Touring Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,199.8519,1,0.00,199.8519
46120,917,"LL Mountain Frame - Silver, 42",Mountain Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,144.5938,1,0.00,144.5938
46121,927,"LL Mountain Frame - Black, 52",Mountain Frames,Components,1,1,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,136.785,1,0.00,136.785
46122,945,Front Derailleur,Derailleurs,Components,15,15,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,40.6216,15,0.00,609.324
46123,946,LL Touring Handlebars,Handlebars,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,20.464,1,0.00,20.464
46124,947,HL Touring Handlebars,Handlebars,Components,4,4,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,40.6571,4,0.00,162.6284
46125,949,LL Crankset,Cranksets,Components,5,5,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,77.9176,5,0.00,389.588
46126,950,ML Crankset,Cranksets,Components,6,6,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,113.8816,6,0.00,683.2896
46127,951,HL Crankset,Cranksets,Components,4,4,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,179.8156,4,0.00,719.2624
46128,994,LL Bottom Bracket,Bottom Brackets,Components,6,6,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,23.9716,6,0.00,143.8296
46129,995,ML Bottom Bracket,Bottom Brackets,Components,3,3,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,44.9506,3,0.00,134.8518
46130,996,HL Bottom Bracket,Bottom Brackets,Components,6,6,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,53.9416,6,0.00,323.6496
46131,3,BB Ball Bearing,NULL,NULL,150,150,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,150,0.00,0.00
46132,324,Chain Stays,NULL,NULL,30,30,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,30,0.00,0.00
46133,327,Down Tube,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46134,328,Mountain End Caps,NULL,NULL,10,10,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,10,0.00,0.00
46135,329,Road End Caps,NULL,NULL,10,10,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,10,0.00,0.00
46136,330,Touring End Caps,NULL,NULL,10,10,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,10,0.00,0.00
46137,398,Handlebar Tube,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46138,399,Head Tube,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46139,400,LL Hub,NULL,NULL,8,8,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,8,0.00,0.00
46140,401,HL Hub,NULL,NULL,22,22,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,22,0.00,0.00
46141,529,Stem,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46142,532,Seat Stays,NULL,NULL,60,60,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,60,0.00,0.00
46143,533,Seat Tube,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46144,534,Top Tube,NULL,NULL,15,15,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,15,0.00,0.00
46145,802,LL Fork,Forks,Components,5,5,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,65.8097,5,0.00,329.0485
46146,803,ML Fork,Forks,Components,1,1,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,77.9176,1,0.00,77.9176
46147,804,HL Fork,Forks,Components,9,9,0,NULL,NULL,2013-09-28 00:00:00.000,2014,3,101.8936,9,0.00,917.0424
46148,316,Blade,NULL,NULL,30,30,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,30,0.00,0.00
46149,331,Fork End,NULL,NULL,30,30,0,NULL,NULL,2013-09-27 00:00:00.000,2014,3,0.00,30,0.00,0.00
